cat,caption,label,caption_small,original_caption,self_written_caption
Bear,a photo of bear standing on a rock in front of a stone wall; a photo of bear walking through a field with trees in the background; a photo of bear standing on a rock in the woods; a photo of bear standing in shallow water with head above water; a photo of bear climbing up a rock wall in a zoo; a photo of bear in water with head above water; a photo of bear laying down in the snow with its head on the ground; a photo of bear sitting on a rock in a zoo enclosure; a photo of bear standing in the grass looking at something; a photo of bear cub walking through a grassy field in the woods; a photo of bear with open mouth looking at camera in outdoor setting; a photo of bear standing on snow covered ground next to a rock wall; a photo of bear sitting in the grass in a wooded area; a photo of bear sitting on a rock in a zoo enclosure; a photo of bear laying down in the dirt in the wilderness; a photo of bear standing in water with wet fur on head; a photo of bear standing on a log in the woods; a photo of bear swimming in the water with his head above the water; a photo of bear sitting on a log in the woods; a photo of bear sitting on a rock in a zoo enclosure; ,0," bear cub walking through a grassy field in the woods. A photo of bear cub looking at camera in outdoor setting. bear sitting on a rock in a zoo enclosure. Overall, this is a photo of Bear",a photo of Bear,"a photo of Bear, brown, white or black "
Bee,a photo of bee on a flower with a blurry background; a photo of bee with yellow and black markings on its head and wings; a photo of bee on a flower with pollen on it; a photo of bee on yellow flowers with a blurry background; a photo of bee on a white flower with a yellow center; a photo of bee on a pink flower with a red spot; a photo of bee on a flower with a blurry background; a photo of bee on a flower with a blurry background; a photo of bee on a pink flower in a field of flowers; a photo of bee on lavender flower with blurry background; a photo of bee swarming around a group of bees; a photo of bee on a flower with a blurry background; a photo of bee on a purple flower with a blurry background; a photo of bee on a blade of grass with a blurry background; a photo of bee on a flower with pollen in its abdomen; a photo of bee on a flower with a blurry background; a photo of bee on purple flower with blurry background; a photo of bee on a flower with a blurry background; a photo of bee flying towards a flower in the grass; a photo of bee with yellow and black markings on its head and body; ,1,"A photo of bee on a flower with a blurry background. A photo of a bee with yellow and black markings on its head and wings. a photo of bees swarming around a group of bees. Overall, this is a photo of Bee",a photo of Bee,"a photo of Bee, a type of insects, photoed with flowers or plants"
Bird,"a photo of bird with white feathers sitting on a branch; a photo of bird perched on a branch of a tree; a photo of bird perched on a branch in a field; a photo of bird perched on a tree branch in a grassy area; a photo of bird perched on a tree branch in the sun; a photo of bird with blue, orange and black feathers standing on a dirt ground; a photo of bird with red head sitting on a bird feeder; a photo of bird feeders hanging from a pole outside; a photo of bird with red and black feathers sitting on a tree branch; a photo of bird standing on a rock in the middle of a park; a photo of bird perched on a metal pole in the rain; a photo of bird with a very long beak and a very colorful head; a photo of bird sitting on a branch with four other birds; a photo of bird standing on a branch in the water; a photo of bird sitting on a bush with green leaves; a photo of bird with fish in its talon in the air; a photo of bird perched on a snow covered rock in the snow; a photo of bird perched on a branch with a blurred background; a photo of bird perched on a branch of a tree; a photo of bird perched on a branch with a blurry background; ",2,"A photo of bird with a very long beak and a very colorful head. bird with fish in its talon in the air. bird perched on a metal pole in the rain. bird sitting on a bush with green leaves. Overall, this is a photo of Bird",a photo of Bird,"a photo of Bird, a type of flying animal"
Butterfly,a photo of butterfly with brown and black wings sitting on a plant; a photo of butterfly on a flower with a blurry background; a photo of butterfly resting on a leaf in a garden; a photo of butterfly with spots on wings sitting on a plant; a photo of butterfly on a plant with a green background; a photo of butterfly with orange and white wings sitting on a leaf; a photo of butterfly on yellow flower with green background; a photo of butterfly on a yellow flower with green background; a photo of butterfly resting on a leaf in a garden; a photo of butterfly on a wooden post with green background; a photo of butterfly on a flower with a black background; a photo of butterfly on a yellow flower with green leaves; a photo of butterfly on a stem with leaves in the background; a photo of butterfly resting on a leaf in a forest; a photo of butterfly on a flower with a dark background; a photo of butterfly on a flower with green leaves in the background; a photo of butterfly on a white flower with green background; a photo of butterfly on a red flower with a green background; a photo of butterfly on a flower with green leaves in the background; a photo of butterfly on purple flower with green background; ,3,"A photo of butterfly with brown and black wings sitting on a plant. A photo of butterflies resting on a leaf in a garden. A picture of butterfly on a wooden post with green background. Overall, this is a photo of Butterfly",a photo of Butterfly,"a photo of Butterfly, a type of flying insect"
Camel,a photo of camels in a fenced in area with trees; a photo of camel walking in a field with grass and dirt; a photo of camels in a fenced in area with trees; a photo of camels are being led by a man in a desert; a photo of camels are standing in a zoo enclosure; a photo of camel standing in dirt area with trees in background; a photo of camels in a fenced in area eating grass; a photo of camels eating grass in a fenced in area; a photo of camel standing in a field with a tree in the background; a photo of camel sitting in dirt area next to fence; a photo of camel standing in the desert with a few other animals in the background; a photo of camel standing in a field with a fence; a photo of camel laying down in a fenced in area; a photo of camel standing in a field with trees in the background; a photo of camels standing in the desert with a pole in the foreground; a photo of camels in a desert with a mountain in the background; a photo of camels with their heads turned to look at the camera; a photo of camel laying down in dirt with a fence in the background; a photo of camels are standing in a desert area with people; a photo of camel standing in a desert with a boat in the background; ,4,"Photo of camels in a fenced in area with trees; a photo of camel walking in a field with grass and dirt. Photo of camel standing in the desert with a few other animals in the background;  photo of Camel in a zoo enclosure. Overall, this is a photo of Camel",a photo of Camel,"a photo of Camel, a type of animal on desert or grassland"
Caribou,a photo of caribouer with large horns walking through a field; a photo of caribouers of deer laying in a field of grass; a photo of caribouer reindeer standing in the snow in a forest; a photo of caribouers in a field with trees in the background; a photo of caribouer reindeer walking in the snow at sunset; a photo of cariboule reindeer running in the snow; a photo of caribouls of reindeer in a field with mountains in the background; a photo of caribouer reindeer with antlers walking in a grassy field; a photo of cariboule reindeer walking in the snow at sunset; a photo of cariboul reindeer standing in a grassy field; a photo of caribouer reindeer standing in snow with a fence in the background; a photo of caribouers of reindeers sitting in a fenced in area; a photo of caribouer in a field of tall grass; a photo of cariboule of a deer on a hill with grass; a photo of caribouer reindeer standing in a field with grass and flowers; a photo of caribouer reindeer laying down in a grassy field; a photo of caribouer grazing in a grassy field with a bird nearby; a photo of caribouer reindeer standing in a field with grass and trees; a photo of caribouer antelope with large horns in grassy field; a photo of caribouers grazing in a field next to a lake; ,5,"A photo of caribouer with large horns walking through a field. A photo of reindeer with antlers walking in a grassy field with mountains in the background. Overall, this is a photo of Caribou",a photo of Caribou,"a photo of Caribou, a type of animal with long antlers"
Cat,a photo of cat with green eyes looking at the camera; a photo of cat sitting on a ledge in front of a tree; a photo of cat laying on the floor next to a radiator; a photo of cat laying on a couch with a pillow; a photo of cat laying on a striped blanket with its paw on the pillow; a photo of cat looking at something in the distance; a photo of cat with green eyes looking at the camera; a photo of cat sitting on a brick walkway looking at the camera; a photo of cat sitting on a stone floor looking at the camera; a photo of cat laying on the floor with a stick in its mouth; a photo of cat sleeping on a cat bed next to a window; a photo of cat laying on a carpet under a table; a photo of cat staring at camera with yellow eyes; a photo of cat sitting on the floor looking up at something; a photo of cat sitting on a concrete ledge looking at the camera; a photo of cat with collar sitting on ledge looking at camera; a photo of cat peeking out from behind a door; a photo of cat laying on a window sill next to a potted plant; a photo of cat sitting on steps next to another cat; a photo of cat laying down in a bathroom sink looking at the camera; ,6,"A photo of cat with green eyes looking at the camera; a photo ofCat sitting on a ledge in front of a tree. A photo of Cat laying on a striped blanket with its paw on the pillow;  a photo  of cat looking at something in the distance. Overall, this is a photo of Cat",a photo of Cat,"a photo of Cat, a type of animal, also a type of pet"
Chicken,a photo of chicken walking on the sidewalk in front of a building; a photo of chicken with a red comb and a red beak; a photo of chickens in a field of grass and trees; a photo of chicken standing on a patch of grass in a yard; a photo of chicken standing in grass near a wooden fence; a photo of chicken with a red comb and a bucket in the background; a photo of chicken standing on a rock in a garden; a photo of chickens are standing in the grass near a red barn; a photo of chickens in a coop with a chicken feeder; a photo of chickens standing in a yard next to a fence; a photo of chicken with a red comb and black tail; a photo of chicken in a wooden box with hay and straw; a photo of chickens in a field with trees in the background; a photo of chickens are walking in a group on the ground; a photo of chicken standing in grass next to a fence; a photo of chicken standing in the grass next to another chicken; a photo of chicken and chicks crossing the street in the daytime; a photo of chicken with a red comb standing in a pen; a photo of chickens are standing in a yard next to a bird feeder; a photo of chickens are walking on a path in the woods; ,7,"Photo of chicken with a red comb and a red beak; a photo of chickens in a field of grass and trees. Photo of chicken standing on a patch of grass in a yard; photo of chicken in a wooden box with hay and straw. Overall, this is a photo of Chicken",a photo of Chicken,"a photo of Chicken, a type of livestock"
Cow,a photo of cow standing in a field behind a fence; a photo of cow standing in front of a fence in a field; a photo of cow standing in a field with other cows; a photo of cow standing in hay with a white sheet in the background; a photo of cow standing in a field with trees in the background; a photo of cow standing in a field with other cows; a photo of cow standing in a field with other cows; a photo of cow standing in a field with a cloudy sky in the background; a photo of cow standing in a field next to a tree; a photo of cow with ear tags looking at camera in grassy field; a photo of cow standing in a field with a fence; a photo of cow walking in a field with trees in the background; a photo of cow with ear tags on head standing in grassy field; a photo of cow with ear tags on head in grassy field; a photo of cow standing in a field with a sky background; a photo of cow with ear tags standing in a field; a photo of cow with tag in ear standing in a group of cows; a photo of cow with ear tags standing in a field; a photo of cow standing in a field with other cows; a photo of cow with ear tags looking at the camera; ,8,"Photo of cow with ear tags looking at camera in grassy field. A photo of cow standing in a field with a cloudy sky in the background; a photo ofcow standing in field next to a tree. A picture of cow in hay with white sheet in background. Overall, this is a photo of Cow",a photo of Cow,"a photo of Cow, a type of livestock"
Deer,a photo of deer standing in the woods with trees in the background; a photo of deer in the woods with trees in the background; a photo of deer standing in a field of tall grass; a photo of deer standing in tall grass with trees in the background; a photo of deer walking through a grassy field with bushes; a photo of deer standing in a field next to a tree; a photo of deer standing in a grassy field with trees in the background; a photo of deer standing in a forest with tall grass; a photo of deer in a field of tall grass with trees in the background; a photo of deer with antlers standing in the snow; a photo of deer with ears wide open standing in a field; a photo of deer standing in the woods near a tree; a photo of deer with antlers standing in a field of grass; a photo of deer laying down in the grass with antlers on its head; a photo of deer standing in a field with a fence in the background; a photo of deer grazing in a grassy field with trees in the background; a photo of deer with antlers standing in tall grass; a photo of deer standing in a field with trees in the background; a photo of deer with antlers standing in a field of tall grass; a photo of deers are walking in a field with trees in the background; ,9,"A photo of deer with antlers standing in a field of tall grass. A photo of deers standing in the woods with trees in the background. A picture of deer in a forest with tall grass; a photo of Deer in the snow; a picture of Deer with ears wide open Overall, this is a photo of Deer",a photo of Deer,"a photo of Deer, a type of brown animal"
